"Depth","Time","Name","Data"
"1","0.435509500","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.436245750","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.469773375","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.470509625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.471245500","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.509773875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.510510125","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.511245875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.539773875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.540509875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
